plate_id,plate_index,row,column,sample_id
plate1,1,A,1,kac_16
plate1,2,A,2,kac_38
plate1,3,A,3,kac_39
plate1,4,A,4,kac_40
plate1,5,A,5,t_2015
plate1,6,A,6,kac_42
plate1,7,A,7,kac_43
plate1,8,A,8,kac_44
plate1,9,A,9,kac_45
plate1,10,A,10,kac_46
plate1,11,A,11,kac_47
plate1,12,A,12,kac_48
plate1,13,B,1,kac_49
plate1,14,B,2,kac_50
plate1,15,B,3,kac_51
plate1,16,B,4,kac_52
plate1,17,B,5,kac_53
plate1,18,B,6,kac_65
plate1,19,B,7,kac_66
plate1,20,B,8,kac_67
plate1,21,B,9,kac_70
plate1,22,B,10,kac_71
plate1,23,B,11,kac_74
plate1,24,B,12,kac_75
plate1,25,C,1,kac_76
plate1,26,C,2,kac_77
plate1,27,C,3,kac_78
plate1,28,C,4,kac_79
plate1,29,C,5,kac_80
plate1,30,C,6,kac_81
plate1,31,C,7,kac_82
plate1,32,C,8,kac_83
plate1,33,C,9,kac_84
plate1,34,C,10,kac_85
plate1,35,C,11,kac_86
plate1,36,C,12,kac_87
plate1,37,D,1,kac_60
plate1,38,D,2,kac_89
plate1,39,D,3,kac_90
plate1,40,D,4,kac_91
plate1,41,D,5,kac_92
plate1,42,D,6,kac_93
plate1,43,D,7,kac_94
plate1,44,D,8,kac_95
plate1,45,D,9,kac_96
plate1,46,D,10,kac_97
plate1,47,D,11,kac_98
plate1,48,D,12,kac_99
plate1,49,E,1,kac_100
plate1,50,E,2,kac_101
plate1,51,E,3,kac_102
plate1,52,E,4,kac_103
plate1,53,E,5,kac_104
plate1,54,E,6,kac_105
plate1,55,E,7,kac_106
plate1,56,E,8,kac_107
plate1,57,E,9,kac_108
plate1,58,E,10,kac_109
plate1,59,E,11,kac_110
plate1,60,E,12,kac_111
plate1,61,F,1,kac_112
plate1,62,F,2,kac_113
plate1,63,F,3,kac_114
plate1,64,F,4,kac_115
plate1,65,F,5,kac_116
plate1,66,F,6,kac_117
plate1,67,F,7,kac_121
plate1,68,F,8,kac_122
plate1,69,F,9,kac_123
plate1,70,F,10,kac_124
plate1,71,F,11,kac_125
plate1,72,F,12,kac_126
plate1,73,G,1,kac_127
plate1,74,G,2,kac_128
plate1,75,G,3,kac_129
plate1,76,G,4,kac_130
plate1,77,G,5,kac_131
plate1,78,G,6,kac_132
plate1,79,G,7,kac_133
plate1,80,G,8,kac_134
plate1,81,G,9,kac_135
plate1,82,G,10,kac_136
plate1,83,G,11,kac_137
plate1,84,G,12,kac_138
plate1,85,H,1,kac_139
plate1,86,H,2,kac_140
plate1,87,H,3,kac_141
plate1,88,H,4,kac_142
plate1,89,H,5,kac_143
plate1,90,H,6,kac_144
plate1,91,H,7,kac_145
plate1,92,H,8,kac_146
plate1,93,H,9,kac_147
plate1,94,H,10,kac_148
plate1,95,H,11,kac_149
plate1,96,H,12,kac_150
plate2,1,A,1,kac_151
plate2,2,A,2,kac_152
plate2,3,A,3,kac_153
plate2,4,A,4,kac_154
plate2,5,A,5,kac_155
plate2,6,A,6,kac_156
plate2,7,A,7,kac_157
plate2,8,A,8,kac_158
plate2,9,A,9,kac_159
plate2,10,A,10,kac_160
plate2,11,A,11,kac_161
plate2,12,A,12,kac_162
plate2,13,B,1,kac_163
plate2,14,B,2,kac_164
plate2,15,B,3,kac_165
plate2,16,B,4,kac_166
plate2,17,B,5,kac_167
plate2,18,B,6,kac_172
plate2,19,B,7,kac_173
plate2,20,B,8,kac_174
plate2,21,B,9,kac_175
plate2,22,B,10,kac_176
plate2,23,B,11,kac_177
plate2,24,B,12,kac_178
plate2,25,C,1,kac_179
plate2,26,C,2,kac_180
plate2,27,C,3,kac_181
plate2,28,C,4,kac_182
plate2,29,C,5,kac_183
plate2,30,C,6,kac_184
plate2,31,C,7,kac_185
plate2,32,C,8,kac_186
plate2,33,C,9,kac_187
plate2,34,C,10,kac_188
plate2,35,C,11,kac_189
plate2,36,C,12,kac_190
plate2,37,D,1,kac_191
plate2,38,D,2,kac_192
plate2,39,D,3,kac_193
plate2,40,D,4,kac_194
plate2,41,D,5,kac_195
plate2,42,D,6,kac_196
plate2,43,D,7,kac_197
plate2,44,D,8,kac_198
plate2,45,D,9,kac_199
plate2,46,D,10,kac_200
plate2,47,D,11,kac_202
plate2,48,D,12,kac_203
plate2,49,E,1,kac_204
plate2,50,E,2,kac_205
plate2,51,E,3,kac_206
plate2,52,E,4,kac_207
plate2,53,E,5,kac_208
plate2,54,E,6,kac_209
plate2,55,E,7,kac_210
plate2,56,E,8,kac_211
plate2,57,E,9,kac_212
plate2,58,E,10,kac_213
plate2,59,E,11,kac_214
plate2,60,E,12,kac_215
plate2,61,F,1,kac_216
plate2,62,F,2,kac_217
plate2,63,F,3,kac_218
plate2,64,F,4,kac_219
plate2,65,F,5,kac_220
plate2,66,F,6,kac_221
plate2,67,F,7,kac_223
plate2,68,F,8,kac_224
plate2,69,F,9,kac_225
plate2,70,F,10,kac_226
plate2,71,F,11,kac_230
plate2,72,F,12,kac_232
plate2,73,G,1,kac_233
plate2,74,G,2,kac_234
plate2,75,G,3,kac_236
plate2,76,G,4,kac_237
plate2,77,G,5,kac_238
plate2,78,G,6,kac_239
plate2,79,G,7,kac_240
plate2,80,G,8,kac_241
plate2,81,G,9,kac_242
plate2,82,G,10,kac_243
plate2,83,G,11,kac_244
plate2,84,G,12,t_1020
plate2,85,H,1,t_1030
plate2,86,H,2,t_2004
plate2,87,H,3,t_2040
